episode,a_cnt,state,action,reward,DAsum,SNr,cart_pos,cart_v,pole_angle,pole_v
1,1,525,0,1,1.0,-0.0,0.018479345335682767,0.03526411092515226,-0.018345660365742533,-0.023797002560503513
1,2,735,1,1,1.045,-0.0,0.01918462755418581,-0.3547071544810528,-0.018821600416952605,0.5556681392076931
1,3,525,0,1,0.997024405,0.01,0.012090484464564755,0.03579082322168853,-0.007708237632798744,-0.03550830301981889
1,4,735,1,1,0.94773907975,0.01045,0.012806300928998525,-0.3543408495748323,-0.00841840369319512,0.5474056215199642
1,5,561,1,1,1.0,-0.0,0.005719483937501879,0.03601929415150662,0.0025297087372041626,-0.04058882716695267
1,6,561,1,1,0.94999,0.01,0.006439869820532011,0.4262267383714086,0.0017179321938651092,-0.6251543870944775
1,7,309,0,1,1.089866098,-0.0,0.014964404587960185,0.8164465739529765,-0.01078515554802444,-1.209978204911258
1,8,525,0,1,0.9900108898935358,0.0199702441,0.031293336067019714,0.42634524997340356,-0.0349847196462496,-0.6280310251884568
1,9,525,0,1,0.9402858416392463,0.0298703529,0.03982024106648779,0.03662409843677955,-0.04754534015001874,-0.054090414711692625
1,10,735,1,1,1.0771232220463054,0.0199273908,0.04055272303522338,-0.3528747198339271,-0.04862714844425259,0.5155245090566948
1,11,525,0,1,0.9417320155030353,0.0392732114,0.03349522863854484,0.03798529188304256,-0.03831665826311869,-0.08436322264245999
1,12,735,1,1,1.0656545623590843,0.030698623,0.03425493447620569,-0.35166805855725725,-0.04000392271596789,0.4884254573452448
1,13,525,0,1,0.9425897491770401,0.0486905315,0.02722157330506054,0.03909390641087929,-0.030235413569062997,-0.10900656292347854
1,14,735,0,1,1.0,-0.0,0.028003451433278127,-0.35069092538250995,-0.03241554482753257,0.466515597673135
1,15,951,0,1,1.0,-0.0,0.02098963292562793,-0.7404471925190055,-0.02308523287406987,1.0413143665773976
1,16,1161,0,1,1.0,-0.0,0.00618068907524782,-1.1303693537716741,-0.002258945542521918,1.6192553094108164
1,17,1196,0,1,1.0,-0.0,-0.01642669800018566,-1.520586492498736,0.03012616064569441,2.203915394667123
1,18,1196,0,1,0.94999,0.01,-0.04683842785016038,-1.911093522114975,0.07420446853903687,2.798265896819754
1,19,1190,0,1,1.0,-0.0,-0.08506029829245988,-2.301674295718757,0.13016978647543195,3.404320903355726
1,20,1226,1,-200,-200.0,-0.0,-0.131093784206835,-2.6918153868258314,0.19825620454254647,4.02274350647977
2,1,777,1,1,1.08774955,-0.0,0.011378738480410142,0.019360918399179514,0.02021592304708529,0.00831455523660192
2,2,561,1,1,0.902462475389999,0.0194999,0.011765956848393731,0.40930331614441395,0.02038221415181733,-0.5705364466204953
